,id,full_name,first_name,last_name,is_active
328,76158,Walter Berry,Walter,Berry,False
329,1629541,Dairis Bertans,Dairis,Bertans,False
330,202722,Davis Bertans,Davis,Bertans,True
331,76159,Del Beshore,Del,Beshore,False
332,696,Travis Best,Travis,Best,False
333,201976,Patrick Beverley,Patrick,Beverley,True
334,1630180,Saddiq Bey,Saddiq,Bey,True
335,1630189,Tyler Bey,Tyler,Bey,False
336,204021,Sim Bhullar,Sim,Bhullar,False
337,76160,Al Bianchi,Al,Bianchi,False
338,76161,Hank Biasatti,Hank,Biasatti,False
339,76162,Henry Bibby,Henry,Bibby,False
340,1710,Mike Bibby,Mike,Bibby,False
341,76163,Ed Biedenbach,Ed,Biedenbach,False
342,2740,Andris Biedrins,Andris,Biedrins,False
343,76164,Don Bielke,Don,Bielke,False
344,76165,Bob Bigelow,Bob,Bigelow,False
345,1497,Chauncey Billups,Chauncey,Billups,False
346,76166,Dave Bing,Dave,Bing,False
347,76167,Joe Binion,Joe,Binion,False
348,203920,Khem Birch,Khem,Birch,False
349,1628444,Jabari Bird,Jabari,Bird,False
350,76168,Jerry Bird,Jerry,Bird,False
351,1449,Larry Bird,Larry,Bird,False
352,76170,Otis Birdsong,Otis,Birdsong,False
353,76171,Gale Bishop,Gale,Bishop,False
354,1629048,Goga Bitadze,Goga,Bitadze,True
355,1641931,Onuralp Bitim,Onuralp,Bitim,True
356,202687,Bismack Biyombo,Bismack,Biyombo,True
357,202357,Nemanja Bjelica,Nemanja,Bjelica,False
358,76172,Uwe Blab,Uwe,Blab,False
359,1641710,Anthony Black,Anthony,Black,True
360,76173,Charlie Black,Charlie,Black,False
361,1641778,Leaky Black,Leaky,Black,True
362,76174,Norman Black,Norman,Black,False
363,204028,Tarik Black,Tarik,Black,False
364,76175,Tom Black,Tom,Black,False
365,76176,Rolando Blackman,Rolando,Blackman,False
366,76180,Alex Blackwell,Alex,Blackwell,False
367,76177,Cory Blackwell,Cory,Blackwell,False
368,1806,James Blackwell,James,Blackwell,False
369,76179,Nate Blackwell,Nate,Blackwell,False
370,201971,DeJuan Blair,DeJuan,Blair,False
371,2581,Steve Blake,Steve,Blake,False
372,202392,Marqus Blakely,Marqus,Blakely,False
373,1628469,Antonio Blakeney,Antonio,Blakeney,False
374,200807,Will Blalock,Will,Blalock,False
375,76182,George Blaney,George,Blaney,False
376,76183,Lance Blanks,Lance,Blanks,False
377,76184,Ricky Blanton,Ricky,Blanton,False
378,101154,Andray Blatche,Andray,Blatche,False
379,302,Mookie Blaylock,Mookie,Blaylock,False
380,202339,Eric Bledsoe,Eric,Bledsoe,False
381,1629833,Keljin Blevins,Keljin,Blevins,False
382,76186,Leon Blevins,Leon,Blevins,False
383,76187,John Block,John,Block,False
384,76188,Mike Bloom,Mike,Bloom,False
