,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
29,22023,1630173,0022300736,"FEB 08, 2024",NYK vs. DAL,L,41,6,9,0.667,1,2,0.5,0,0,0.0,3,13,16,3,0,1,3,5,13,-14,1
30,22023,1630173,0022300722,"FEB 06, 2024",NYK vs. MEM,W,40,8,13,0.615,1,2,0.5,0,0,0.0,2,3,5,3,3,1,0,2,17,-1,1
31,22023,1630173,0022300701,"FEB 03, 2024",NYK vs. LAL,L,42,4,11,0.364,0,3,0.0,2,2,1.0,4,4,8,0,0,1,1,2,10,-10,1
32,22023,1630173,0022300685,"FEB 01, 2024",NYK vs. IND,W,43,5,16,0.313,0,3,0.0,2,4,0.5,8,8,16,0,4,2,2,4,12,7,1
33,22023,1630173,0022300671,"JAN 30, 2024",NYK vs. UTA,W,40,8,13,0.615,0,3,0.0,2,2,1.0,1,4,5,1,0,2,0,3,18,14,1
34,22023,1630173,0022300657,"JAN 29, 2024",NYK @ CHA,W,33,4,6,0.667,1,1,1.0,0,0,0.0,1,4,5,0,0,1,0,4,9,21,1
35,22023,1630173,0022300643,"JAN 27, 2024",NYK vs. MIA,W,31,2,7,0.286,0,0,0.0,0,0,0.0,3,7,10,1,1,2,0,2,4,19,1
36,22023,1630173,0022300631,"JAN 25, 2024",NYK vs. DEN,W,23,1,4,0.25,0,0,0.0,0,0,0.0,6,4,10,3,0,1,0,1,2,18,1
37,22023,1630173,0022300615,"JAN 23, 2024",NYK @ BKN,W,21,3,6,0.5,0,1,0.0,0,0,0.0,4,5,9,2,0,0,0,1,6,13,1
38,22023,1630173,0022300596,"JAN 20, 2024",NYK vs. TOR,W,25,9,10,0.9,0,0,0.0,0,0,0.0,4,7,11,0,0,1,3,4,18,13,1
39,22023,1630173,0022300579,"JAN 18, 2024",NYK vs. WAS,W,9,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2,-4,1
40,22023,1630173,0022300573,"JAN 17, 2024",NYK vs. HOU,W,6,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,3,0,2,1
41,22023,1630173,0022300557,"JAN 15, 2024",NYK vs. ORL,L,20,2,4,0.5,0,0,0.0,2,2,1.0,3,2,5,1,0,1,1,0,6,-4,1
42,22023,1630173,0022300544,"JAN 13, 2024",NYK @ MEM,W,6,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,1,0,0,5,1
43,22023,1630173,0022300530,"JAN 11, 2024",NYK @ DAL,L,16,3,3,1.0,0,0,0.0,1,2,0.5,1,5,6,0,1,0,2,4,7,3,1
44,22023,1630173,0022300514,"JAN 09, 2024",NYK vs. POR,W,20,1,9,0.111,0,3,0.0,0,0,0.0,5,4,9,1,1,1,1,0,2,-3,1
45,22023,1630173,0022300494,"JAN 06, 2024",NYK @ WAS,W,8,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-11,1
46,22023,1630173,0022300483,"JAN 05, 2024",NYK @ PHI,W,13,2,3,0.667,1,2,0.5,0,0,0.0,2,1,3,0,0,1,1,0,5,10,1
47,22023,1630173,0022300468,"JAN 03, 2024",NYK vs. CHI,W,11,2,2,1.0,0,0,0.0,0,0,0.0,2,1,3,1,0,1,0,2,4,-16,1
48,22023,1630173,0022300451,"JAN 01, 2024",NYK vs. MIN,W,9,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,2,0,-3,1
49,22023,1630173,0022300432,"DEC 29, 2023",TOR @ BOS,L,2,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,1,1
50,22023,1630173,0022300416,"DEC 27, 2023",TOR @ WAS,W,11,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1,0,1,1,1,0,3,5,1
51,22023,1630173,0022300395,"DEC 23, 2023",TOR vs. UTA,L,21,3,7,0.429,0,3,0.0,2,2,1.0,1,1,2,1,0,2,0,1,8,-3,1
52,22023,1630173,0022300382,"DEC 22, 2023",TOR @ PHI,L,16,2,9,0.222,0,2,0.0,0,2,0.0,3,3,6,1,2,0,1,2,4,-1,1
53,22023,1630173,0022300369,"DEC 20, 2023",TOR vs. DEN,L,25,6,10,0.6,1,2,0.5,0,1,0.0,4,1,5,1,1,1,1,2,13,6,1
54,22023,1630173,0022300354,"DEC 18, 2023",TOR vs. CHA,W,18,5,9,0.556,0,1,0.0,2,4,0.5,5,2,7,1,1,0,0,1,12,12,1
55,22023,1630173,0022300330,"DEC 15, 2023",TOR vs. ATL,L,17,4,7,0.571,0,2,0.0,1,2,0.5,0,2,2,5,0,0,0,1,9,-9,1
56,22023,1630173,0022300313,"DEC 13, 2023",TOR vs. ATL,W,17,2,5,0.4,1,3,0.333,2,2,1.0,1,6,7,1,1,2,2,0,7,-5,1
57,22023,1630173,0022300297,"DEC 11, 2023",TOR @ NYK,L,21,3,8,0.375,1,4,0.25,2,2,1.0,0,5,5,3,1,0,1,4,9,-1,1
58,22023,1630173,0022301216,"DEC 08, 2023",TOR @ CHA,L,22,7,10,0.7,3,4,0.75,0,0,0.0,4,6,10,1,0,0,4,4,17,5,1
59,22023,1630173,0022301207,"DEC 06, 2023",TOR vs. MIA,L,13,4,7,0.571,1,3,0.333,0,0,0.0,0,3,3,2,1,0,1,0,9,-4,1
60,22023,1630173,0022300276,"DEC 01, 2023",TOR vs. NYK,L,17,4,11,0.364,0,1,0.0,0,0,0.0,5,1,6,1,0,0,1,2,8,-22,1
61,22023,1630173,0022300260,"NOV 29, 2023",TOR vs. PHX,W,18,5,10,0.5,1,1,1.0,3,4,0.75,6,4,10,1,2,0,1,2,14,6,1
62,22023,1630173,0022300054,"NOV 28, 2023",TOR @ BKN,L,10,0,4,0.0,0,2,0.0,1,4,0.25,1,2,3,1,1,0,1,3,1,-2,1
63,22023,1630173,0022300251,"NOV 26, 2023",TOR @ CLE,L,13,1,4,0.25,1,2,0.5,1,4,0.25,0,2,2,1,1,0,0,0,4,-15,1
64,22023,1630173,0022300046,"NOV 24, 2023",TOR vs. CHI,W,18,3,4,0.75,0,0,0.0,2,2,1.0,3,4,7,4,0,3,2,0,8,-2,1
65,22023,1630173,0022300038,"NOV 21, 2023",TOR @ ORL,L,15,2,4,0.5,0,1,0.0,1,2,0.5,2,4,6,4,1,0,3,3,5,-9,1
66,22023,1630173,0022300211,"NOV 19, 2023",TOR vs. DET,W,19,5,10,0.5,2,4,0.5,0,2,0.0,3,3,6,5,0,0,0,1,12,17,1
67,22023,1630173,0022300031,"NOV 17, 2023",TOR vs. BOS,L,24,2,4,0.5,0,2,0.0,1,2,0.5,0,9,9,1,2,0,1,1,5,-2,1
68,22023,1630173,0022300195,"NOV 15, 2023",TOR vs. MIL,L,17,4,7,0.571,1,2,0.5,2,2,1.0,3,1,4,0,0,2,1,3,11,-3,1
69,22023,1630173,0022300189,"NOV 13, 2023",TOR vs. WAS,W,19,5,8,0.625,0,1,0.0,0,0,0.0,1,3,4,1,1,0,2,1,10,8,1
70,22023,1630173,0022300174,"NOV 11, 2023",TOR @ BOS,L,19,1,5,0.2,0,2,0.0,0,0,0.0,0,5,5,5,0,0,0,1,2,-12,1
71,22023,1630173,0022300092,"OCT 28, 2023",TOR vs. PHI,L,18,3,10,0.3,0,1,0.0,0,0,0.0,3,4,7,3,0,1,1,1,6,5,1
72,22023,1630173,0022300082,"OCT 27, 2023",TOR @ CHI,L,23,2,5,0.4,1,3,0.333,3,3,1.0,2,7,9,1,0,0,3,6,8,-22,1
73,22023,1630173,0022300069,"OCT 25, 2023",TOR vs. MIN,W,24,4,9,0.444,0,1,0.0,0,0,0.0,3,5,8,0,0,0,2,1,8,-5,1
